"","Country","Year","%of1Member","%of2-3Member","%of4-5Member","%of6+Member"
"1166","Mauritius",2009,9.29549254614733,39.5923612435276,41.3517991435069,9.76034706681787
"1167","Mauritius",2010,9.6351696793206,40.3065089340309,40.7952910713541,9.26303031529403
"1168","Mauritius",2011,9.9748468124939,41.0206566245341,40.2387829992018,8.76571356377022
"1169","Mexico",1990,4.87150241463829,24.9881088164632,35.3350158953576,34.8053728735409
"1170","Mexico",1991,4.88720152421882,25.7102891283039,37.4757482431409,31.926761104336
"1171","Mexico",1992,5.10148098770861,26.2068684227725,37.5443289982653,31.1473215912531
"1172","Mexico",1993,5.31576045119846,26.703447717241,37.6129097533898,30.3678820781704
"1173","Mexico",1994,5.53003991468825,27.2000270117096,37.6814905085142,29.5884425650875
"1174","Mexico",1995,5.79488872584122,27.5013516257976,38.873201302337,27.8305583460242
"1175","Mexico",1996,5.95859884166788,28.1931856006469,37.8186520187631,28.0295635389218
"1176","Mexico",1997,6.17287830515772,28.6897648951154,37.8872327738876,27.2501240258389
"1177","Mexico",1998,6.38715776864751,29.186344189584,37.955813529012,26.4706845127562
"1178","Mexico",1999,6.60143723213736,29.6829234840526,38.0243942841364,25.6912449996732
"1179","Mexico",2000,6.36785659492832,30.949896670594,39.8682488553864,22.8139978790913
"1180","Mexico",2001,7.02999615911699,30.6760820729897,38.1615557943853,24.1323659735076
"1181","Mexico",2002,7.24427562260678,31.1726613674583,38.2301365495098,23.3529264604247
"1182","Mexico",2003,7.45855508609662,31.6692406619269,38.2987173046342,22.573486947342
"1183","Mexico",2004,7.67283454958641,32.1658199563955,38.3672980597587,21.794047434259
"1184","Mexico",2005,7.88711401307626,32.662399250864,38.4358788148831,21.0146079211763
"1185","Mexico",2006,8.10139347656605,33.1589785453326,38.5044595700075,20.2351684080934
"1186","Mexico",2007,8.31567294005589,33.6555578398012,38.573040325132,19.4557288950107
"1187","Mexico",2008,8.52995240354568,34.1521371342698,38.6416210802564,18.6762893819277
"1188","Mexico",2009,8.74423186703547,34.6487164287383,38.7102018353809,17.8968498688448
"1189","Mexico",2010,9.10691247242038,34.7431378553696,39.3211989506294,16.8287507215806
"1190","Mexico",2011,9.1727907940151,35.6418750176755,38.8473633456298,16.3379708426792
"1191","Mexico",2012,9.38707025750494,36.1384543121441,38.9159441007542,15.5585313295965
"1192","Mexico",2013,9.60134972099473,36.6350336066126,38.9845248558787,14.7790918165135
"1193","Mexico",2014,9.81562918448458,37.1316129010812,39.0531056110031,13.9996523034308
"1194","Mexico",2015,10.080217905205,37.6808118690667,37.7530177438383,14.48595248189
"1195","Mongolia",1989,9.29667202228363,27.743233290331,32.4546234341453,30.5054712532401
"1196","Mongolia",1990,9.05209622132554,27.8324765997115,33.1718143250325,29.9436128539303
"1197","Mongolia",1991,8.8075204203675,27.921719909092,33.8890052159197,29.3817544546207
"1198","Mongolia",1992,8.56294461940951,28.0109632184725,34.6061961068067,28.8198960553111
"1199","Mongolia",1993,8.31836881845152,28.100206527853,35.3233869976939,28.2580376560015
"1200","Mongolia",1994,8.07379301749347,28.1894498372336,36.0405778885809,27.6961792566922
"1201","Mongolia",1995,7.82921721653548,28.278693146614,36.7577687794678,27.1343208573826
"1202","Mongolia",1996,7.58464141557744,28.3679364559946,37.474959670355,26.572462458073
"1203","Mongolia",1997,7.34006561461945,28.4571797653751,38.192150561242,26.0106040587634
"1204","Mongolia",1998,7.0954898136614,28.5464230747556,38.9093414521292,25.4487456594538
"1205","Mongolia",1999,6.85091401270341,28.6356663841361,39.6265323430162,24.8868872601442
"1206","Mongolia",2000,6.60633821174543,28.7249096935166,40.3437232339031,24.3250288608349
"1207","Montenegro",2011,18.1266320575108,39.5824013483006,33.3506725897567,8.94029400443191
"1208","Morocco",1992,5.21911138161899,17.2550213024954,24.3761412051126,53.149726110773
"1209","Morocco",1993,5.51324234047688,18.0132376071367,24.7899781087917,51.6835419435945
"1210","Morocco",1994,5.94552487133189,18.9780397418983,24.9969605958133,50.0794747909565
"1211","Morocco",1995,5.46891764731294,18.4938573073042,26.3062735301248,49.7309515152579
"1212","Morocco",1996,5.44675530073096,18.734167157388,27.0644212407915,48.7546563010894
"1213","Morocco",1997,5.42459295414899,18.9744770074718,27.8225689514579,47.778361086921
"1214","Morocco",1998,5.40243060756701,19.2147868575555,28.5807166621246,46.8020658727528
"1215","Morocco",1999,5.38026826098504,19.4550967076393,29.338864372791,45.8257706585844
"1216","Morocco",2000,5.35810591440307,19.695406557723,30.0970120834577,44.8494754444162
"1217","Morocco",2001,5.3359435678211,19.9357164078068,30.8551597941241,43.8731802302477
"1218","Morocco",2002,5.31378122123913,20.1760262578906,31.6133075047908,42.8968850160795
"1219","Morocco",2003,4.54268976556566,19.386290715887,33.7513777680605,42.3196417504869
"1220","Morocco",2004,5.88023406516956,21.4801055200251,31.9565347901783,40.683125624627
"1221","Mozambique",1997,9.98128680941965,32.5856795512633,29.001343700898,28.4316899384192
"1222","Mozambique",1998,8.86938934404344,30.9088941012371,29.6449780408346,30.5767385138849
"1223","Mozambique",1999,8.91581922168911,30.8720867949422,29.7607172505153,30.4513767328534
"1224","Mozambique",2000,8.96224909933477,30.8352794886474,29.8764564601959,30.326014951822
"1225","Mozambique",2001,9.00867897698042,30.7984721823525,29.9921956698766,30.2006531707905
"1226","Mozambique",2002,9.05510885462608,30.7616648760577,30.1079348795572,30.0752913897591
"1227","Mozambique",2003,6.6479059436403,27.5175602411382,30.8786394964981,34.9558943187235
"1228","Mozambique",2004,9.1479686099174,30.688050263468,30.3394132989185,29.8245678276961
"1229","Mozambique",2005,9.19439848756305,30.6512429571731,30.4551525085992,29.6992060466647
"1230","Mozambique",2006,9.24082836520871,30.6144356508783,30.5708917182799,29.5738442656332
"1231","Mozambique",2007,10.0729154925914,30.8913290387467,30.8425597586246,28.1931957100374
"1232","Mozambique",2008,9.33368812050003,30.5408210382886,30.8023701376412,29.3231207035703
"1233","Mozambique",2009,9.51504325204385,31.225954652046,31.6816559687441,27.5773461271661
"1234","Mozambique",2010,9.42654787579134,30.4672064256988,31.0338485570025,29.0723971415074
"1235","Mozambique",2011,9.84770069541133,30.9620766900817,30.1030420375924,29.0871805769146
