"","Country","Year","percent_of_gdp_spent_on_education"
"307","Brazil",2006,4.8706
"308","Brazil",2007,4.97426
"309","Brazil",2008,5.26884
"310","Brazil",2009,5.46355
"311","Brazil",2010,5.6488
"312","Brazil",2011,5.73741
"313","Brazil",2012,5.8551
"314","Brazil",2013,5.83885
"315","Brazil",2014,5.94848
"316","Brazil",2015,6.24106
"317","Bulgaria",1990,4.45406
"318","Bulgaria",1991,5.42962
"319","Bulgaria",1992,5.26046
"320","Bulgaria",1993,4.95049
"321","Bulgaria",1994,4.17066
"322","Bulgaria",1995,3.44701
"323","Bulgaria",1996,2.71198
"324","Bulgaria",1997,4.05512896481211
"325","Bulgaria",1998,2.81427
"326","Bulgaria",1999,3.98768026071397
"327","Bulgaria",2000,3.95395590866489
"328","Bulgaria",2001,3.41018
"329","Bulgaria",2002,3.41238
"330","Bulgaria",2003,4.02938
"331","Bulgaria",2004,2.33781
"332","Bulgaria",2005,4.14106
"333","Bulgaria",2006,3.93202
"334","Bulgaria",2007,3.68211
"335","Bulgaria",2008,4.22437
"336","Bulgaria",2009,4.28575
"337","Bulgaria",2010,3.86346
"338","Bulgaria",2011,3.56303
"339","Bulgaria",2012,3.50203
"340","Bulgaria",2013,4.06197
"341","Cabo Verde",1998,6.39177
"342","Cabo Verde",1999,6.80168
"343","Cabo Verde",2000,6.91971824614359
"344","Cabo Verde",2001,6.79154498323277
"345","Cabo Verde",2002,7.87682
"346","Cabo Verde",2003,6.53519845741118
"347","Cabo Verde",2004,7.47664
"348","Cabo Verde",2005,6.27885193158954
"349","Cabo Verde",2006,6.5296
"350","Cabo Verde",2007,5.40755
"351","Cabo Verde",2008,5.518
"352","Cabo Verde",2009,5.30896
"353","Cabo Verde",2010,5.56729
"354","Cabo Verde",2011,5.04361
"355","Cabo Verde",2012,5.38163909121391
"356","Cabo Verde",2013,5.00144
"357","Cabo Verde",2014,4.96387
"358","Cabo Verde",2015,5.26691
"359","Cabo Verde",2016,5.36651
"360","Canada",1985,6.21287
"361","Canada",1986,6.04419
"362","Canada",1987,6.32446
"363","Canada",1988,6.17615
"364","Canada",1989,6.09832
"365","Canada",1990,5.99199
"366","Canada",1991,6.8843
"367","Canada",1992,6.77094
"368","Canada",1993,7.70426
"369","Canada",1994,6.68002
"370","Canada",1995,6.32445
"371","Canada",1996,5.88179301093558
"372","Canada",1997,5.81016814520046
"373","Canada",1998,5.51196
"374","Canada",1999,5.54994
"375","Canada",2000,5.44201
"376","Canada",2001,4.96958
"377","Canada",2002,5.01073
"378","Canada",2003,5.38041895078976
"379","Canada",2004,5.30879408505467
"380","Canada",2005,4.78215
"381","Canada",2006,5.16554435358444
"382","Canada",2007,4.78036
"383","Canada",2008,4.63826
"384","Canada",2009,4.85264
"385","Canada",2010,5.36993
"386","Canada",2011,5.27444
"387","Chile",1987,2.82329
"388","Chile",1988,2.25036711139899
"389","Chile",1989,2.33918463730572
"390","Chile",1990,2.25016
"391","Chile",1991,2.51681968911919
"392","Chile",1992,2.60563721502592
"393","Chile",1993,2.38372
"394","Chile",1994,2.51182
"395","Chile",1995,2.5647
"396","Chile",1996,2.79625
"397","Chile",1997,3.01246
"398","Chile",1998,3.34015
"399","Chile",1999,3.72922
"400","Chile",2000,3.77583
"401","Chile",2001,3.40499494818656
"402","Chile",2002,4.08121
"403","Chile",2003,3.96346
"404","Chile",2004,3.53839
"405","Chile",2005,3.26283
"406","Chile",2006,3.02153
"407","Chile",2007,3.21379
"408","Chile",2008,3.79243
"409","Chile",2009,4.23065
"410","Chile",2010,4.16209
"411","Chile",2011,4.04519
"412","Chile",2012,4.38198773316063
