"","Country","Year","rural_population_percent"
"283","Belgium",2003,0.0286176540216805
"284","Belgium",2004,0.028042176587118
"285","Belgium",2005,0.0274850608750719
"286","Belgium",2006,0.0269556364372199
"287","Belgium",2007,0.0264311009866437
"288","Belgium",2008,0.0259244493360015
"289","Belgium",2009,0.0254381858041689
"290","Belgium",2010,0.0250644098444331
"291","Belgium",2011,0.0245597180990634
"292","Belgium",2012,0.0240411474571847
"293","Belgium",2013,0.0234893099566318
"294","Belgium",2014,0.0229609100196061
"295","Belgium",2015,0.0225391522517551
"296","Belize",1986,0.598013637509281
"297","Belize",1987,0.628736031095995
"298","Belize",1989,0.62732789423146
"299","Belize",1990,0.623603648078177
"300","Belize",1991,0.621321693454418
"301","Belize",1993,0.614967125485214
"302","Belize",1994,0.629811265544989
"303","Belize",1995,0.614290225538917
"304","Belize",1996,0.63521751866775
"305","Belize",1997,0.637678456283207
"306","Belize",1998,0.639796216473868
"307","Belize",1999,0.641702022693636
"308","Belize",2000,0.642706201513493
"309","Belize",2001,0.640970176730486
"310","Belize",2002,0.639158193426342
"311","Belize",2003,0.637045185823614
"312","Belize",2004,0.634748015071996
"313","Belize",2005,0.632256010709286
"314","Belize",2006,0.629086292207715
"315","Belize",2007,0.626432857120935
"316","Belize",2008,0.624195494770716
"317","Belize",2009,0.622368659256309
"318","Belize",2010,0.620693664837895
"319","Belize",2011,0.618196343039741
"320","Belize",2012,0.616687907890027
"321","Belize",2013,0.615677582390998
"322","Belize",2014,0.614660097640202
"323","Belize",2015,0.613283057567003
"324","Bosnia and Herzegovina",2011,0.543511538493997
"325","Bosnia and Herzegovina",2014,0.518773620274919
"326","Brazil",1985,0.348063504611777
"327","Brazil",1986,0.341618264725836
"328","Brazil",1987,0.327480595814114
"329","Brazil",1988,0.316845948166246
"330","Brazil",1989,0.306469925338672
"331","Brazil",1990,0.296436388487756
"332","Brazil",1991,0.286451755866845
"333","Brazil",1992,0.277028165753431
"334","Brazil",1993,0.268075105540949
"335","Brazil",1994,0.259423966859306
"336","Brazil",1995,0.250982935966943
"337","Brazil",1996,0.242837656432288
"338","Brazil",1997,0.23413224638469
"339","Brazil",1998,0.225582410756916
"340","Brazil",1999,0.217215784518198
"341","Brazil",2000,0.209034534684346
"342","Brazil",2001,0.204706656649444
"343","Brazil",2002,0.200559604375521
"344","Brazil",2003,0.196354016573175
"345","Brazil",2004,0.192212900164351
"346","Brazil",2005,0.188206760400176
"347","Brazil",2006,0.184199294829916
"348","Brazil",2007,0.18037625111889
"349","Brazil",2008,0.176710054840145
"350","Brazil",2009,0.173178607696254
"351","Brazil",2010,0.169730687181122
"352","Brazil",2011,0.166267824136547
"353","Brazil",2012,0.162931089367936
"354","Brazil",2013,0.159705772871661
"355","Brazil",2014,0.156521404921786
