"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GAB","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",1,
"GMB","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"GTM","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.75,
"GIN","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"GNB","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"HND","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"IRQ","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"JAM","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"JOR","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"KEN","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"KWT","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.75,
"KGZ","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"LAO","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"LBN","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",1,
"LSO","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"LBR","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",1,
"LBY","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"MDG","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"MWI","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"MLI","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.75,
"MRT","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"MUS","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"MNG","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"MAR","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"MMR","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
