"","Country","Year","male_population","male_suicide_rate","female_population","female_suicide_rate","population","total_suicide_rate"
"1198","Kyrgyzstan",2003,2226648,0.000178744013422867,2294197,3.61782357835879e-05,4520844,0.000106174864693407
"1199","Kyrgyzstan",2004,2252471,0.000161600304732003,2319809,3.27613178498747e-05,4572279,9.60133885093189e-05
"1200","Kyrgyzstan",2005,2272121,0.000170325436013311,2342414,3.62873514246414e-05,4614534,0.000102068811281919
"1201","Kyrgyzstan",2006,2287849,0.000160412684578397,2358628,4.15495788229428e-05,4646476,9.98606255579497e-05
"1202","Kyrgyzstan",2007,2297832,0.000159715766861981,2370810,4.93502220759993e-05,4668641,0.000103456230624715
"1203","Kyrgyzstan",2008,2308661,0.000164597574091649,2382265,3.98780152501926e-05,4690925,0.000101046168932567
"1204","Kyrgyzstan",2009,2359238,0.000153863238893236,2440898,3.97394729316833e-05,4800135,9.56223106225137e-05
"1205","Kyrgyzstan",2010,2377614,0.000166553528032725,2459944,4.30904118142527e-05,4837557,0.000103564671175968
"1206","Kyrgyzstan",2011,2393650,0.000152069015938003,2476890,4.4006798848556e-05,4870539,9.69091921859162e-05
"1207","Kyrgyzstan",2012,2424956,0.000166188582390773,2507406,4.90546804147394e-05,4932361,0.000106439897647394
"1208","Kyrgyzstan",2013,2465230,0.000141974582493317,2546972,3.8477062174221e-05,5012201,8.91823771632462e-05
"1209","Kyrgyzstan",2014,2507824,0.000143151991527316,2588608,4.01760328330902e-05,5096431,9.06516736908633e-05
"1210","Kyrgyzstan",2015,2558153,0.00012821750692785,2637676,3.45000674836485e-05,5195828,8.04491603648158e-05
"1211","Latvia",1995,1093301,0.000755510147708636,1281401,0.000156079166474819,2374701,0.000431633287727592
"1212","Latvia",1996,1088101,0.000681921990697555,1275301,0.000142711406954123,2363401,0.000390538888660875
"1213","Latvia",1997,1084601,0.000651852616768747,1270101,0.000142508351698015,2354701,0.000376693261692249
"1214","Latvia",1998,1080401,0.000628470354988564,1263701,0.00012819488154239,2344101,0.000358346334053012
"1215","Latvia",1999,1075701,0.000552198055035739,1257701,0.000135962363073576,2333401,0.000327419076275359
"1216","Latvia",2000,1040870,0.000594694822600325,1231239,0.000124265069576256,2272108,0.000339332461309057
"1217","Latvia",2001,1025955,0.000557529326334976,1216274,0.000113461275995376,2242228,0.000316203347741621
"1218","Latvia",2002,1011673,0.000515977000473473,1202813,0.000124707664449919,2214485,0.000303004987615631
"1219","Latvia",2003,999708,0.000483141077194541,1190505,0.000103317499716507,2190212,0.000276228967789419
"1220","Latvia",2004,987281,0.000463900348532991,1176198,9.09710779987723e-05,2163478,0.000260691349761819
"1221","Latvia",2005,975365,0.000457264716285698,1162468,0.000103228648014397,2137832,0.000264286435978131
"1222","Latvia",2006,965080,0.000422762879761263,1150137,7.04263926819153e-05,2115216,0.000230709298719374
"1223","Latvia",2007,955898,0.000375563083090455,1137982,8.43598580645388e-05,2093879,0.000216822462042936
"1224","Latvia",2008,943695,0.000453536365033194,1123836,8.98707640616602e-05,2067530,0.000255377189206444
"1225","Latvia",2009,924982,0.00045081958351622,1105336,9.13749303379244e-05,2030317,0.000254640038969284
"1226","Latvia",2010,903529,0.000417252794320935,1084379,5.80977684001627e-05,1987907,0.000220835280523686
"1227","Latvia",2011,887139,0.00041256218022204,1066474,7.1262871856229e-05,1953612,0.00022573571415409
"1228","Latvia",2012,877947,0.000423715782387775,1053576,7.02369833785128e-05,1931522,0.000230388263762981
"1229","Latvia",2013,870311,0.00037113169889844,1042155,5.94921100987857e-05,1912465,0.00020078798827691
"1230","Latvia",2014,862755,0.000361632213084827,1031288,6.98156092187633e-05,1894042,0.000202213044906079
"1231","Latvia",2015,855098,0.000359023176290905,1020426,8.03585953317536e-05,1875523,0.0002068756288246
"1232","Lithuania",1995,1585527,0.0008760494144849,1801624,0.000170401815251129,3387150,0.000500420707674594
"1233","Lithuania",1996,1577779,0.00088035143071368,1797386,0.000186381778872207,3375164,0.000510493712305535
"1234","Lithuania",1997,1570755,0.00085882266808,1793520,0.000158905392747223,3364274,0.000485394471437225
"1235","Lithuania",1998,1562854,0.000822853574294208,1788121,0.000150437246696392,3350974,0.000463745764664244
"1236","Lithuania",1999,1552915,0.000828120019447298,1780539,0.000149392964714617,3333453,0.000465283296329662
"1237","Lithuania",2000,1542707,0.000854342399431648,1772420,0.0001777231130319,3315126,0.000492288980871315
"1238","Lithuania",2001,1531212,0.000820265253929567,1762928,0.000158259441111605,3294139,0.000465675552853113
"1239","Lithuania",2002,1520462,0.000861580230219499,1754028,0.00013853826734807,3274489,0.000473967083108235
"1240","Lithuania",2003,1509628,0.000794897815885768,1744501,0.000147320064591536,3254128,0.000447431692914354
"1241","Lithuania",2004,1493923,0.00075305086005102,1729048,0.000148636706441926,3222970,0.000428486768415468
"1242","Lithuania",2005,1469536,0.0007383282886571,1705194,0.000138400674644645,3174729,0.000415783520420168
"1243","Lithuania",2006,1443831,0.000591481967072324,1681938,0.000117126790642699,3125768,0.000335917444928734
"1244","Lithuania",2007,1423778,0.000596300827797592,1664091,0.000106965304181081,3087868,0.000332268089179978
"1245","Lithuania",2008,1406548,0.000653372654185993,1647210,0.000117774904232004,3053757,0.000364141613101501
"1246","Lithuania",2009,1386910,0.000687139035698063,1629589,0.000114752860997466,3016498,0.000377590172445001
"1247","Lithuania",2010,1353220,0.000613351857052068,1596519,0.000119008918778918,2949738,0.000345454409849282
"1248","Lithuania",2011,1319336,0.000620008852938145,1560471,0.000129448096119697,2879806,0.000353843279720926
"1249","Lithuania",2012,1299212,0.000580351782465063,1538560,0.00011374272046589,2837771,0.000327017225843805
"1250","Lithuania",2013,1284994,0.000691053810367986,1521635,0.000130780377685845,2806628,0.00038694119776472
"1251","Lithuania",2014,1273878,0.000604453487696624,1507701,0.000107448360119148,2781578,0.000334702100750006
"1252","Lithuania",2015,1260522,0.00057753851182288,1493406,0.000113833746482872,2753927,0.000325716694741727
"1253","Lithuania",2016,1104113,0.00062855885221893,1341185,9.69292081256501e-05,2445297,0.000336564433686378
"1254","Luxembourg",1985,167001,0.000239519523835187,177801,9.56125106158008e-05,344801,0.000162412522005447
"1255","Luxembourg",1986,167601,0.000226728957464454,178401,8.40802461869608e-05,346001,0.000150288582980974
"1256","Luxembourg",1987,169501,0.000271384829588026,179901,0.000166758383777744,349401,0.000214653077695828
"1257","Luxembourg",1988,171101,0.000309758563655385,181201,9.93372001258271e-05,352301,0.000198693730645102
"1258","Luxembourg",1989,173001,0.000317917237472616,182401,0.000109648521663807,355401,0.000208215508678929
"1259","Luxembourg",1990,175001,0.000274284146947732,183801,0.000119694669778728,358801,0.00019230715633457
"1260","Luxembourg",1991,177601,0.000309682940974431,185301,0.000129518998818139,362901,0.000214934651599196
"1261","Luxembourg",1992,179801,0.000166851129860234,187501,0.000165332451560258,367301,0.000163353761628746
"1262","Luxembourg",1993,182201,0.000268933759968387,189801,8.95674943756882e-05,372001,0.000174730713089481
"1263","Luxembourg",1994,184501,0.000336041539070249,192501,7.27268949252212e-05,377001,0.000198938464354206
"1264","Luxembourg",1995,186901,0.000246119603426413,195201,9.73355669284481e-05,382101,0.000167494981693322
"1265","Luxembourg",1996,189601,0.000284808624427086,198101,0.000100958601925281,387701,0.000188289429225099
"1266","Luxembourg",1997,192101,0.000317541293382127,200501,0.000109725138527987,392601,0.00020886345169778
"1267","Luxembourg",1998,194947,0.000251350367022832,202970,8.37562201310538e-05,397916,0.000163351059017481
"1268","Luxembourg",1999,198163,0.000252317536573427,205729,0.0001069367954931,403891,0.000175790002748266
"1269","Luxembourg",2000,201321,0.000238425201543803,208845,7.66118413177237e-05,410165,0.000153596723269904
"1270","Luxembourg",2001,203371,0.000250773217420379,210561,0.000113981221593742,413931,0.00017877375697882
"1271","Luxembourg",2002,205500,0.000311435523114355,212608,0.000108180313064419,418107,0.000205688974353455
"1272","Luxembourg",2003,208435,0.000196704008443879,215221,4.18174806361833e-05,423655,0.000115660147997781
"1273","Luxembourg",2004,211965,0.000217016960347227,218165,8.25063598652396e-05,430129,0.000146467687600697
"1274","Luxembourg",2005,215704,0.000185439305715239,221636,4.96309263838005e-05,437339,0.000114327786911298
"1275","Luxembourg",2006,219502,0.000218676822990223,225321,8.43241420018551e-05,444822,0.000148373956324103
"1276","Luxembourg",2007,223221,0.000241912723265284,228793,0.000113639840379732,452013,0.000174773734383746
"1277","Luxembourg",2008,227666,0.000158126378115309,232707,3.86752439763307e-05,460372,9.55748829207684e-05
"1278","Luxembourg",2009,232450,0.000159174015917402,236761,5.49076917228767e-05,469210,0.000104430851857377
"1279","Luxembourg",2010,237169,0.000185521716581847,240812,4.98314037506437e-05,477980,0.000115067576049207
"1280","Luxembourg",2011,243197,0.000156251927449763,245723,7.7322839131868e-05,488919,0.000114538400021271
"1281","Luxembourg",2012,249812,0.000160120410548733,251234,5.17445887101268e-05,501045,0.00010378309333493
"1282","Luxembourg",2013,256011,9.76520540133041e-05,256680,6.62303256973664e-05,512690,7.99703524546997e-05
"1283","Luxembourg",2014,262439,0.000201951691631198,262503,6.09516843617025e-05,524941,0.000129538367168882
"1284","Luxembourg",2015,269217,0.000170865881426507,268533,7.44787419050917e-05,537749,0.000120874236865155
"1285","Macau",1994,167836,9.53311566052575e-05,178708,7.27443651095642e-05,346543,8.07980539211584e-05
"1286","Maldives",2000,125030,7.99808046068944e-06,122359,8.17267221863533e-06,247388,4.04223325302763e-06
"1287","Maldives",2001,130127,2.30544007008538e-05,125378,1.59517618720988e-05,255504,1.56553322061494e-05
"1288","Maldives",2002,135522,2.21366272634701e-05,128227,1.55973390939506e-05,263748,1.51659917800325e-05
"1289","Maldives",2003,141156,2.83374422624614e-05,130956,1.52723052017472e-05,272111,1.8374854379279e-05
"1290","Maldives",2004,146927,6.80610098892647e-06,133601,1.49699478297318e-05,280527,7.12943852106927e-06
"1291","Maldives",2005,152741,1.30940611885479e-05,136197,7.34230563081419e-06,288937,6.92192415647702e-06
"1292","Maldives",2007,164352,2.43380062305296e-05,141186,2.12485657218138e-05,305537,1.9637556171593e-05
"1293","Maldives",2008,170228,5.87447423455601e-06,143698,6.95903909588164e-06,313925,3.1854742374771e-06
"1294","Maldives",2010,182681,1.09480460474817e-05,148880,6.71681891456206e-06,331560,6.03209072264447e-06
"1295","Maldives",2011,189515,1.58298815397198e-05,151505,6.60044222962939e-06,341019,8.79716379439269e-06
"1296","Malta",1985,148801,2.01611548309487e-05,158401,6.31309145775595e-06,307201,9.7655932109596e-06
"1297","Malta",1986,155101,6.44741168657842e-06,160701,1.24454732702348e-05,315801,6.33310217510394e-06
"1298","Malta",1987,155801,1.28368880815913e-05,161601,6.18808051930372e-06,317401,6.30117737499252e-06
"1299","Malta",1988,157601,5.71062366355543e-05,163201,1.22548268699334e-05,320801,3.11719726559456e-05
"1300","Malta",1989,159401,0.00011919624092697,164601,3.6451783403503e-05,324001,7.40738454510943e-05
"1301","Malta",1990,161101,5.5865575011949e-05,166301,6.01319294532204e-06,327401,2.74892257506849e-05
"1302","Malta",1991,162801,6.14246841235619e-05,168001,1.19046910435057e-05,330801,3.325262015532e-05
"1303","Malta",1992,164801,7.88830164865504e-05,169501,4.12976914590474e-05,334301,5.68350079718577e-05
"1304","Malta",1993,166601,6.00236493178312e-05,171101,4.675600960836e-05,337701,5.03403898715136e-05
"1305","Malta",1994,168501,7.71508774428638e-05,173201,2.30945548813229e-05,341701,4.68245629951332e-05
"1306","Malta",1995,170301,7.0463473496926e-05,174601,4.00914084111775e-05,344901,5.2188888985535e-05
"1307","Malta",1996,172101,5.81054148436093e-05,176101,1.13571189260708e-05,348201,3.1590948905948e-05
"1308","Malta",1997,173001,6.93637609031162e-05,177401,2.8184734020665e-05,350401,4.56619701427793e-05
"1309","Malta",1998,174701,6.86887882725342e-05,178701,1.11918791724725e-05,353401,3.67854080775097e-05
"1310","Malta",1999,175901,0.000130755368076361,179701,3.33887958330783e-05,355601,7.87399360519234e-05
"1311","Malta",2000,179241,0.000100423452223543,183437,3.81602403004846e-05,362677,6.61745850991378e-05
"1312","Malta",2001,183015,0.000131136792066224,187528,4.26602960624547e-05,370542,8.3661231385376e-05
"1313","Malta",2002,185094,6.48319232390029e-05,189364,4.75275131492786e-05,374457,5.34106719863696e-05
"1314","Malta",2003,186860,9.63288023118913e-05,190927,2.09504156038695e-05,377786,5.55870254588577e-05
"1315","Malta",2004,188466,7.95899525643883e-05,192454,5.71565153231422e-05,380919,6.56307508945471e-05
"1316","Malta",2005,190125,8.94148586456279e-05,193988,2.06198321545663e-05,384112,5.20681467905194e-05
"1317","Malta",2006,191287,0.000115010429354844,194753,3.0808254558338e-05,386039,6.9941119938659e-05
"1318","Malta",2007,192261,0.000135232834532224,195322,1.02395019506251e-05,387582,6.96626778333359e-05
"1319","Malta",2008,193738,6.71009301221237e-05,196459,1.527036175487e-05,390196,3.84422187823555e-05
"1320","Malta",2009,195326,0.000174067968422023,197778,2.02246963767456e-05,393103,9.41229143506918e-05
"1321","Malta",2010,196127,0.000152962111285035,198824,1.5088721683499e-05,394950,8.10229142929485e-05
"1322","Malta",2011,196758,0.000106730094837313,199667,5.00833888424226e-06,396424,5.29735838395254e-05
"1323","Malta",2012,198314,0.000100850166907026,200826,3.4856044536066e-05,399139,6.51402143113051e-05
"1324","Malta",2013,200538,0.000109704893835582,202192,9.89158819340033e-06,402729,5.71103645379399e-05
"1325","Malta",2014,202829,0.000138047320649414,203698,2.94553702049112e-05,406526,8.11756197635576e-05
"1326","Malta",2015,205174,0.000136469533176718,205465,3.89360718370525e-05,410638,8.52332224489696e-05
"1327","Mauritius",1985,441801,0.000156178913130572,441601,8.37860421511727e-05,883401,0.000118858819494205
"1328","Mauritius",1986,448901,4.6780916059443e-05,449201,2.00355742752131e-05,898101,3.2290354871e-05
"1329","Mauritius",1987,453701,0.000193960339518758,457601,0.000118006735125142,911301,0.000154723850846208
"1330","Mauritius",1988,460101,0.000243424813247526,464901,0.000122606748533559,925001,0.000181621425274135
"1331","Mauritius",1989,462901,0.000233311226374538,470001,8.08508918066132e-05,932901,0.00015542913985514
"1332","Mauritius",1990,467301,0.000196875247431527,473801,0.000120303671794699,941101,0.000157262610495579
"1333","Mauritius",1991,467601,0.000203164663890796,470501,9.35173357761195e-05,938101,0.000147105695442175
"1334","Mauritius",1992,474001,0.000213079719241099,474301,9.9093191876045e-05,948301,0.000155014072536041
"1335","Mauritius",1993,479701,0.000195955397216183,478601,9.61134640337149e-05,958301,0.000145048372066814
"1336","Mauritius",1994,486301,0.000222084675951725,486501,4.72763673661514e-05,972801,0.000133634731049824
"1337","Mauritius",1995,490901,0.000236300190873516,491001,6.72096390842381e-05,981901,0.000150728026552575
"1338","Mauritius",1996,497201,0.000237328565308598,497801,7.43268896607279e-05,995001,0.000154773713795263
"1339","Mauritius",1997,505601,0.000203717951507216,506101,4.14936939464652e-05,1011701,0.00012157742257841
"1340","Mauritius",1998,512601,0.000224346031318706,513701,8.17596228156067e-05,1026301,0.000152002190390538
"1341","Mauritius",1999,520201,0.000232602397919266,522201,0.000105323429101055,1042401,0.000167881650151909
"1342","Mauritius",2000,522274,0.000206788007827309,533801,5.80740762943494e-05,1056074,0.00013067266119609
"1343","Mauritius",2001,528370,0.000145731211083142,540579,7.02949985108559e-05,1068948,0.00010664690892354
"1344","Mauritius",2002,533272,0.000193147211929372,546485,5.48962917554919e-05,1079756,0.000122249841630887
"1345","Mauritius",2003,539136,0.000120563271604938,553100,4.51997830410414e-05,1092235,8.14842959619496e-05
"1346","Mauritius",2004,544331,0.000139620929177284,558762,4.11624269366922e-05,1103092,8.88411845974769e-05
"1347","Mauritius",2005,549608,0.000145558288816757,564336,4.25278557455133e-05,1113943,9.24643361464635e-05
"1348","Mauritius",2006,555001,0.000162161869978613,570302,5.26037082107375e-05,1125302,0.000105749389941545
"1349","Mauritius",2007,559708,0.00017509129760518,575527,5.38636762480301e-05,1135234,0.000112752084592251
"1350","Mauritius",2008,564787,0.000129252266783761,581473,2.23570139972105e-05,1146259,7.41542705444407e-05
"1351","Mauritius",2009,573568,0.000162142936844454,585985,4.09566797784926e-05,1159552,0.000100038635610995
"1352","Mauritius",2010,573315,0.000134306620269834,591618,3.8876437160465e-05,1164932,8.49835011829017e-05
"1353","Mauritius",2011,577166,0.000166329963996493,596188,4.02557582507531e-05,1173353,0.000101418754628829
"1354","Mauritius",2012,580466,0.000155047840872678,600083,4.49937758610059e-05,1180548,9.82594523899071e-05
"1355","Mauritius",2013,567118,0.000148117323026249,580274,2.75731809455533e-05,1147391,8.62827057210663e-05
"1356","Mauritius",2014,569072,0.000170452947957376,582354,4.2929214876175e-05,1151425,0.000105087174588011
"1357","Mauritius",2015,570676,0.000138432315359328,584174,4.6219105951309e-05,1154849,9.0920977547714e-05
"1358","Mauritius",2016,488260,0.000172039487158481,504174,3.17350755889832e-05,992433,9.97548449114449e-05
"1359","Mexico",1985,33726001,3.79529135399124e-05,33840001,7.86051986227778e-06,67566001,2.28665301650752e-05
"1360","Mexico",1986,34504201,4.1907940427312e-05,34619301,7.79911760783385e-06,69123501,2.48106646102893e-05
"1361","Mexico",1987,33860001,4.1848787895783e-05,34088101,8.39002442523859e-06,67948101,2.50485293179864e-05
