"","Country","Year","%20-Head","%20-64Head"
"894","Jordan",2009,0.0959612990780442,85.8870810464109
"895","Jordan",2010,0.107435922666816,85.3601114001207
"896","Jordan",2011,0.0925540734118471,85.0835671759407
"897","Jordan",2012,0.0713160723957539,84.4145226616734
"898","Kazakhstan",1995,0.282867827790193,82.600574145942
"899","Kazakhstan",1996,0.161981899936904,82.9930651697979
"900","Kazakhstan",1997,0.280535930447797,82.8908409659313
"901","Kazakhstan",1998,0.399089960958719,82.7886167620648
"902","Kazakhstan",1999,0.182428049760011,83.3789938770093
"903","Kazakhstan",2000,0.636198021980505,82.5841683543318
"904","Kazakhstan",2001,0.754752052491426,82.4819441504653
"905","Kazakhstan",2002,0.873306083002319,82.3797199465988
"906","Kazakhstan",2003,0.991860113513241,82.2774957427323
"907","Kazakhstan",2004,1.11041414402413,82.1752715388657
"908","Kazakhstan",2005,1.22896817453503,82.0730473349992
"909","Kazakhstan",2006,1.34752220504595,81.9708231311327
"910","Kazakhstan",2007,1.46607623555684,81.8685989272662
"911","Kazakhstan",2008,1.58463026606776,81.7663747233997
"912","Kazakhstan",2009,1.79896027992429,81.4662644284443
"913","Kenya",1989,2.59612556976915,86.222154830172
"914","Kenya",1990,1.86974467951917,86.1051184847974
"915","Kenya",1991,1.83117870305391,86.140281112458
"916","Kenya",1992,1.79261272658864,86.1754437401187
"917","Kenya",1993,0.759494381042003,85.2756198906073
"918","Kenya",1994,1.71548077365813,86.2457689954399
"919","Kenya",1995,1.67691479719286,86.2809316231005
"920","Kenya",1996,1.6383488207276,86.3160942507611
"921","Kenya",1997,1.59978284426235,86.3512568784217
"922","Kenya",1998,1.08199343924785,86.1917464419671
"923","Kenya",1999,2.50670560413922,87.3268049581793
"924","Kenya",2000,1.48408491486656,86.4567447614035
"925","Kenya",2001,1.44551893840131,86.4919073890641
"926","Kenya",2002,1.40695296193604,86.5270700167247
"927","Kenya",2003,1.08436450380609,87.2374603058371
"928","Kenya",2004,1.32982100900553,86.597395272046
"929","Kenya",2005,1.29125503254026,86.6325578997066
"930","Kenya",2006,1.252689056075,86.6677205273672
"931","Kenya",2007,1.21412307960973,86.7028831550278
"932","Kenya",2008,1.17555710314448,86.7380457826884
"933","Kenya",2009,1.10630318959995,86.217014466758
"934","Kenya",2010,1.09842515021396,86.8083710380096
"935","Kenya",2011,1.05985917374871,86.8435336656702
"936","Kenya",2012,1.02129319728344,86.8786962933308
"937","Kenya",2013,0.982727220818177,86.9138589209915
"938","Kenya",2014,0.93544588861173,87.6218593706217
"939","Kenya",2015,1.03092721341136,86.2645503802979
"940","Latvia",2000,0.957341862967834,73.02428355056
"941","Latvia",2001,0.984203146929502,72.9793526799788
"942","Latvia",2002,1.01106443089116,72.9344218093976
"943","Latvia",2003,1.03792571485282,72.8894909388164
"944","Latvia",2004,1.06478699881448,72.8445600682352
"945","Latvia",2005,1.09164828277613,72.799629197654
"946","Latvia",2006,1.11850956673779,72.7546983270728
"947","Latvia",2007,1.14537085069944,72.7097674564916
"948","Latvia",2008,1.1722321346611,72.6648365859104
"949","Latvia",2009,1.19909341862276,72.6199057153292
"950","Latvia",2010,1.22595470258442,72.574974844748
"951","Latvia",2011,1.25281598654607,72.5300439741668
"952","Lesotho",2004,0.624812030687052,78.4968716311969
"953","Lesotho",2005,0.858574660967731,79.4101914867061
"954","Lesotho",2006,1.08222392162341,80.4446801508626
"955","Lesotho",2007,0.851035817029109,79.3155813027574
"956","Lesotho",2008,0.847266395059798,79.268276210783
"957","Lesotho",2009,0.954691185390493,79.4113510039663
"958","Lesotho",2010,0.839727551121174,79.1736660268344
"959","Lesotho",2011,0.835958129151863,79.12636093486
"960","Lesotho",2012,0.832188707182552,79.0790558428857
"961","Lesotho",2013,0.828419285213241,79.0317507509113
"962","Lesotho",2014,0.723569020568925,78.672896965132
"963","Liberia",2007,1.75591016696751,89.2091597095221
"964","Liberia",2008,1.57951257345703,88.6495838677923
"965","Liberia",2009,1.65336890424369,89.4725966733908
"966","Liberia",2010,1.65672418242621,88.9997436410687
"967","Liberia",2011,2.03163162125683,88.1518154059187
"968","Liberia",2012,1.59369407393737,89.0196600941802
"969","Liberia",2013,1.32622775469496,89.495646095608
"970","Liechtenstein",2010,0.0776046045398694,79.2537023863416
"971","Lithuania",2001,1.43194484775498,74.4993831191324
"972","Lithuania",2002,1.42230032210569,74.1262275512229
"973","Lithuania",2003,1.41265579645641,73.7530719833135
"974","Lithuania",2004,1.40301127080713,73.3799164154041
"975","Lithuania",2005,1.39336674515785,73.0067608474948
"976","Lithuania",2006,1.38372221950857,72.6336052795854
"977","Lithuania",2007,1.37407769385928,72.260449711676
"978","Lithuania",2008,1.36443316821001,71.8872941437667
