"","Country","Year","%60+Head","%65+Head"
"1109","Malta",2010,38.6730133078572,26.8798946080813
"1110","Malta",2011,40.7662176728733,27.7026762018068
"1111","Mauritius",2000,20.5505342666406,13.796769424963
"1112","Mauritius",2001,21.1174853466396,14.0564858223682
"1113","Mauritius",2002,21.6844364266378,14.3162022197735
"1114","Mauritius",2003,22.2513875066363,14.5759186171787
"1115","Mauritius",2004,22.8183385866348,14.8356350145838
"1116","Mauritius",2005,23.3852896666333,15.095351411989
"1117","Mauritius",2006,23.9522407466318,15.3550678093942
"1118","Mauritius",2007,24.51919182663,15.6147842067993
"1119","Mauritius",2008,25.0861429066285,15.8745006042045
"1120","Mauritius",2009,25.653093986627,16.1342170016097
"1121","Mauritius",2010,26.2200450666255,16.3939333990148
"1122","Mauritius",2011,26.7869961466236,16.65364979642
"1123","Mexico",1990,17.5289999271968,11.7441211444657
"1124","Mexico",1991,17.5701440385809,11.780195801901
"1125","Mexico",1992,17.8361757625032,11.9906381943462
"1126","Mexico",1993,18.1022074864254,12.2010805867915
"1127","Mexico",1994,18.3682392103477,12.4115229792367
"1128","Mexico",1995,19.1820778374229,12.9770788145837
"1129","Mexico",1996,18.9003026581923,12.8324077641272
"1130","Mexico",1997,19.1663343821147,13.0428501565725
"1131","Mexico",1998,19.4323661060369,13.2532925490177
"1132","Mexico",1999,19.6983978299592,13.4637349414629
"1133","Mexico",2000,18.8565922205515,12.8763675582933
"1134","Mexico",2001,20.2304612778038,13.8846197263534
"1135","Mexico",2002,20.4964930017261,14.0950621187986
"1136","Mexico",2003,20.7625247256483,14.3055045112439
"1137","Mexico",2004,21.0285564495706,14.5159469036892
"1138","Mexico",2005,21.2945881734929,14.7263892961344
"1139","Mexico",2006,21.5606198974152,14.9368316885796
"1140","Mexico",2007,21.8266516213374,15.1472740810249
"1141","Mexico",2008,22.0926833452597,15.3577164734701
"1142","Mexico",2009,22.358715069182,15.5681588659153
"1143","Mexico",2010,22.6325931177885,15.8797381385465
"1144","Mexico",2011,22.8907785170267,15.9890436508059
"1145","Mexico",2012,23.1568102409489,16.1994860432511
"1146","Mexico",2013,23.4228419648712,16.4099284356963
"1147","Mexico",2014,23.6888736887935,16.6203708281416
"1148","Mexico",2015,24.2822019056695,16.9980049381035
"1149","Mongolia",1989,15.9422901994353,10.8367913489163
"1150","Mongolia",1990,15.7437401179293,10.6670105623021
"1151","Mongolia",1991,15.5451900364235,10.4972297756879
"1152","Mongolia",1992,15.3466399549177,10.3274489890738
"1153","Mongolia",1993,15.1480898734119,10.1576682024596
"1154","Mongolia",1994,14.949539791906,9.98788741584548
"1155","Mongolia",1995,14.7509897104002,9.81810662923129
"1156","Mongolia",1996,14.5524396288944,9.64832584261717
"1157","Mongolia",1997,14.3538895473886,9.47854505600299
"1158","Mongolia",1998,14.1553394658828,9.30876426938886
"1159","Mongolia",1999,13.9567893843769,9.13898348277473
"1160","Mongolia",2000,13.7582393028712,8.96920269616058
"1161","Montenegro",2011,37.4876457797984,26.7220482516828
"1162","Morocco",1992,26.1868533171029,16.0833840535606
"1163","Morocco",1993,24.6452964583585,15.309828195696
"1164","Morocco",1994,22.7901280152015,14.338332965603
"1165","Morocco",1995,24.4917700524825,15.492969619028
"1166","Morocco",1996,24.4150068495444,15.584540330694
"1167","Morocco",1997,24.3382436466064,15.67611104236
"1168","Morocco",1998,24.2614804436684,15.767681754026
"1169","Morocco",1999,24.1847172407304,15.859252465692
"1170","Morocco",2000,24.1079540377924,15.950823177358
"1171","Morocco",2001,24.0311908348544,16.042393889024
"1172","Morocco",2002,23.9544276319164,16.13396460069
"1173","Morocco",2003,24.0841929614912,16.4746758955795
"1174","Morocco",2004,23.90798427794,16.2659048130269
"1175","Mozambique",1997,15.6720205871661,10.5212725260737
"1176","Mozambique",1998,16.1796480768922,10.4961700999633
"1177","Mozambique",1999,16.123136982759,10.485279630118
"1178","Mozambique",2000,16.0666258886258,10.4743891602726
"1179","Mozambique",2001,16.0101147944926,10.4634986904273
"1180","Mozambique",2002,15.9536037003594,10.4526082205819
"1181","Mozambique",2003,17.5946016320061,10.7662716186983
"1182","Mozambique",2004,15.840581512093,10.4308272808912
"1183","Mozambique",2005,15.7840704179598,10.4199368110458
"1184","Mozambique",2006,15.7275593238265,10.4090463412005
"1185","Mozambique",2007,14.2902660851923,9.68536227988798
"1186","Mozambique",2008,15.6145371355601,10.3872654015097
"1187","Mozambique",2009,15.4785243143248,10.4042629488964
"1188","Mozambique",2010,15.5015149472937,10.365484461819
"1189","Mozambique",2011,15.7719172828431,10.700733741982
"1190","Myanmar",2016,27.9355019341213,18.2717858203061
"1191","Namibia",1992,30.5798797747767,21.4633213727553
"1192","Namibia",1993,29.6855520658451,21.0004009423757
"1193","Namibia",1994,29.2252293608655,20.7338653668841
"1194","Namibia",1995,28.764906655886,20.4673297913923
"1195","Namibia",1996,28.3045839509064,20.2007942159007
"1196","Namibia",1997,27.8442612459269,19.934258640409
"1197","Namibia",1998,27.3839385409473,19.6677230649174
"1198","Namibia",1999,26.9236158359678,19.4011874894256
"1199","Namibia",2000,26.3621333593098,19.0868204230882
"1200","Namibia",2001,26.0029704260087,18.8681163384423
"1201","Namibia",2002,25.5426477210291,18.6015807629506
"1202","Namibia",2003,25.0823250160496,18.3350451874589
"1203","Namibia",2004,24.62200231107,18.0685096119672
"1204","Namibia",2005,24.1616796060905,17.8019740364756
"1205","Namibia",2006,23.7013569011109,17.5354384609839
"1206","Namibia",2007,21.9411961876026,16.6851907902175
"1207","Namibia",2008,22.7807114911518,17.0023673100005
"1208","Namibia",2009,22.3203887861723,16.7358317345089
"1209","Namibia",2010,21.8600660811927,16.4692961590172
"1210","Namibia",2011,21.3997433762132,16.2027605835256
"1211","Namibia",2012,20.9394206712336,15.9362250080338
"1212","Namibia",2013,21.4460907425094,16.104848163775
"1213","Nepal",1996,15.8456727958655,9.11551432305072
"1214","Nepal",1997,16.176202853047,9.42276978536455
"1215","Nepal",1998,16.3965481498013,9.60961737248243
"1216","Nepal",1999,16.6168934465558,9.79646495960031
"1217","Nepal",2000,16.8372387433101,9.9833125467182
"1218","Nepal",2001,17.2321804427981,10.57275746248
"1219","Nepal",2002,17.2779293368189,10.3570077209539
"1220","Nepal",2003,17.4982746335734,10.5438553080718
"1221","Nepal",2004,17.7186199303277,10.7307028951897
"1222","Nepal",2005,17.9389652270821,10.9175504823075
"1223","Nepal",2006,18.0325847649368,10.7698607536245
"1224","Nepal",2007,18.3796558205909,11.2912456565433
"1225","Nepal",2008,18.6000011173454,11.4780932436611
"1226","Nepal",2009,18.8203464140997,11.664940830779
"1227","Nepal",2010,19.0406917108541,11.8517884178968
"1228","Nepal",2011,19.4314383589152,11.9815501514686
"1229","Nepal",2012,19.4813823043629,12.2254835921326
"1230","Nepal",2013,19.7017276011173,12.4123311792504
"1231","Nepal",2014,19.9220728978717,12.5991787663683
"1232","Nepal",2015,20.1424181946261,12.7860263534862
"1233","Nepal",2016,20.2546762566669,13.0823076565031
"1234","New Zealand",2001,26.0919519514107,19.9013706283624
"1235","New Zealand",2002,26.2162795315865,19.924820433099
"1236","New Zealand",2003,26.3406071117623,19.9482702378356
"1237","New Zealand",2004,26.464934691938,19.9717200425721
"1238","New Zealand",2005,26.5892622721138,19.9951698473087
"1239","New Zealand",2006,26.7135898522896,20.0186196520453
"1240","Nicaragua",1995,17.7046951235769,11.9324392780014
"1241","Nicaragua",1996,18.7054050268463,12.4295399343679
"1242","Nicaragua",1997,18.7431439250684,12.5035993450548
"1243","Nicaragua",1998,19.5681475890331,12.8080698304412
"1244","Nicaragua",1999,18.8186217215127,12.6517181664288
"1245","Nicaragua",2000,18.8563606197349,12.7257775771158
"1246","Nicaragua",2001,19.9238136905257,13.4542207212775
"1247","Nicaragua",2002,18.9318384161791,12.8738963984897
"1248","Nicaragua",2003,18.9695773144013,12.9479558091767
"1249","Nicaragua",2004,19.0073162126234,13.0220152198637
"1250","Nicaragua",2005,18.1910471775816,12.634321068056
"1251","Niger",1992,19.0152396320857,11.6855298103384
"1252","Niger",1993,19.1092344198129,11.9790651039191
"1253","Niger",1994,19.3303971070619,12.1104170507462
"1254","Niger",1995,19.551559794311,12.2417689975734
"1255","Niger",1996,19.7727224815601,12.3731209444005
"1256","Niger",1997,19.9938851688092,12.5044728912276
"1257","Niger",1998,19.4238555428797,12.4373342520701
"1258","Niger",1999,20.4362105433073,12.7671767848819
"1259","Niger",2000,20.6573732305564,12.898528731709
"1260","Niger",2001,20.8785359178054,13.0298806785361
"1261","Niger",2002,21.0996986050545,13.1612326253632
"1262","Niger",2003,21.3208612923036,13.2925845721903
"1263","Niger",2004,21.5420239795527,13.4239365190175
"1264","Niger",2005,21.7631866668017,13.5552884658446
"1265","Niger",2006,23.4065717530609,14.6903962691478
"1266","Niger",2007,22.2055120412999,13.8179923594988
"1267","Niger",2008,22.426674728549,13.949344306326
"1268","Niger",2009,22.6478374157981,14.0806962531531
"1269","Niger",2010,22.8690001030471,14.2120481999802
"1270","Niger",2011,23.0901627902962,14.3434001468073
"1271","Niger",2012,22.5531274921917,13.8316701698966
"1272","Nigeria",1990,25.1965873711982,16.7492873837599
"1273","Nigeria",1991,23.5057976749752,15.434191978633
"1274","Nigeria",1992,23.4117177668106,15.3760538227302
"1275","Nigeria",1993,23.3176378586459,15.3179156668273
"1276","Nigeria",1994,23.2235579504812,15.2597775109245
"1277","Nigeria",1995,23.1294780423165,15.2016393550217
"1278","Nigeria",1996,23.0353981341518,15.1435011991189
"1279","Nigeria",1997,22.9413182259872,15.085363043216
"1280","Nigeria",1998,22.8472383178225,15.0272248873132
"1281","Nigeria",1999,20.0724094286684,13.3036493848265
"1282","Nigeria",2000,22.6590785014932,14.9109485755076
"1283","Nigeria",2001,22.5649985933285,14.8528104196048
"1284","Nigeria",2002,22.4709186851638,14.7946722637019
"1285","Nigeria",2003,20.330953405681,12.8386184986759
"1286","Nigeria",2004,22.2827588688344,14.6783959518963
"1287","Nigeria",2005,22.1886789606698,14.6202577959935
"1288","Nigeria",2006,23.7377763630944,15.5696016106221
"1289","Nigeria",2007,22.184803152142,14.4278139783961
"1290","Nigeria",2008,22.2108605003436,14.6687004886001
"1291","Nigeria",2009,22.4610565257702,14.7977107103415
"1292","Nigeria",2010,23.027607924034,15.5546001228974
"1293","Nigeria",2011,21.6241995116817,14.2714288605765
"1294","Nigeria",2012,21.530119603517,14.2132907046737
"1295","Nigeria",2013,20.7821502132575,13.8525810756305
"1296","Nigeria",2014,21.3419597871877,14.097014392868
"1297","Nigeria",2015,20.941785640862,13.8586331471566
"1298","Norway",2001,31.0694410740905,24.8794319588407
"1299","Norway",2002,31.2876668854506,24.8900286552571
"1300","Norway",2003,31.5058926968105,24.9006253516735
"1301","Norway",2004,31.7241185081704,24.9112220480899
"1302","Norway",2005,31.9423443195304,24.9218187445063
"1303","Norway",2006,32.1605701308903,24.9324154409228
"1304","Norway",2007,32.3787959422502,24.9430121373392
"1305","Norway",2008,32.5970217536102,24.9536088337556
