"","Country","Year","AVGHouseSize"
"225","Burkina Faso",1994,6.44530410618871
"226","Burkina Faso",1995,6.41990675086292
"227","Burkina Faso",1996,6.55119057114284
"228","Burkina Faso",1997,6.36911204021135
"229","Burkina Faso",1998,6.34371468488557
"230","Burkina Faso",1999,6.72738555058574
"231","Burkina Faso",2000,6.292919974234
"232","Burkina Faso",2001,6.26752261890821
"233","Burkina Faso",2002,6.24212526358242
"234","Burkina Faso",2003,6.48504069707352
"235","Burkina Faso",2004,6.19133055293085
"236","Burkina Faso",2005,6.16593319760506
"237","Burkina Faso",2006,5.93582028981487
"238","Burkina Faso",2007,6.1151384869535
"239","Burkina Faso",2008,6.08974113162771
"240","Burkina Faso",2009,6.06434377630193
"241","Burkina Faso",2010,5.67490262791517
"242","Burkina Faso",2011,6.01354906565035
"243","Burkina Faso",2012,5.98815171032457
"244","Burkina Faso",2013,5.96275435499878
"245","Burkina Faso",2014,5.9244534660988
"246","Burundi",2010,4.78231067655687
"247","Burundi",2011,4.76389191689946
"248","Burundi",2012,4.73107358847032
"249","Burundi",2013,4.78465267267156
"250","Burundi",2014,4.79503305055762
"251","Burundi",2015,4.80541342844367
"252","Burundi",2016,4.83019337510145
"253","Cambodia",1998,5.1704663715709
"254","Cambodia",1999,5.23302580307141
"255","Cambodia",2000,5.37042894465729
"256","Cambodia",2001,5.14251399956272
"257","Cambodia",2002,5.09725809780839
"258","Cambodia",2003,5.05200219605405
"259","Cambodia",2004,5.0067462942997
"260","Cambodia",2005,4.95942668154008
"261","Cambodia",2006,4.91623449079103
"262","Cambodia",2007,4.87097858903668
"263","Cambodia",2008,4.67979045476002
"264","Cambodia",2009,4.78046678552801
"265","Cambodia",2010,4.7507072636475
"266","Cambodia",2011,4.68995498201933
"267","Cambodia",2012,4.64469908026499
"268","Cambodia",2013,4.59944317851065
"269","Cambodia",2014,4.61184313032466
"270","Cameroon",1987,5.14012776599149
"271","Cameroon",1988,5.40732973654463
"272","Cameroon",1989,5.38829303026643
"273","Cameroon",1990,5.36925632398825
"274","Cameroon",1991,5.60954412690787
"275","Cameroon",1992,5.33118291143187
"276","Cameroon",1993,5.31214620515368
"277","Cameroon",1994,5.29310949887549
"278","Cameroon",1995,5.2740727925973
"279","Cameroon",1996,5.25503608631912
"280","Cameroon",1997,5.23599938004093
"281","Cameroon",1998,5.49861893284275
"282","Cameroon",1999,5.19792596748455
"283","Cameroon",2000,5.17888926120636
"284","Cameroon",2001,5.15985255492817
"285","Cameroon",2002,5.14081584864999
"286","Cameroon",2003,5.1217791423718
"287","Cameroon",2004,4.79004059609065
"288","Cameroon",2005,5.11880899181116
"289","Cameroon",2006,5.06466902353723
"290","Cameroon",2007,5.04563231725904
"291","Cameroon",2008,5.02659561098086
"292","Cameroon",2009,5.00755890470267
"293","Cameroon",2010,4.98852219842448
"294","Cameroon",2011,4.99234197870694
"295","Canada",2001,2.55317554522084
"296","Canada",2002,2.54071482788359
"297","Canada",2003,2.53204325503814
"298","Canada",2004,2.5233716821927
"299","Canada",2005,2.51470010934725
"300","Canada",2006,2.49845024751819
"301","Canada",2007,2.49735696365635
"302","Canada",2008,2.48868539081091
"303","Canada",2009,2.48001381796546
"304","Canada",2010,2.47134224512001
"305","Canada",2011,2.46645981676637
"306","Central African Republic",1994,4.90678370265536
"307","Chad",1997,5.3323429640887
"308","Chad",1998,5.30150332430855
"309","Chad",1999,5.32736188529157
"310","Chad",2000,5.35322044627458
"311","Chad",2001,5.3790790072576
"312","Chad",2002,5.40493756824062
"313","Chad",2003,5.43079612922364
"314","Chad",2004,5.36387581623053
"315","Chad",2005,5.48251325118968
"316","Chad",2006,5.5083718121727
"317","Chad",2007,5.53423037315572
"318","Chad",2008,5.56008893413873
"319","Chad",2009,5.58594749512175
"320","Chad",2010,5.61180605610477
"321","Chad",2011,5.63766461708779
"322","Chad",2012,5.6635231780708
"323","Chad",2013,5.68938173905382
"324","Chad",2014,5.71524030003684
"325","Chad",2015,5.77717953423277
"326","Chile",1992,3.97592490269775
"327","Chile",1993,3.93583757717839
"328","Chile",1994,3.89575025165902
"329","Chile",1995,3.85566292613967
"330","Chile",1996,3.81557560062031
"331","Chile",1997,3.77548827510095
"332","Chile",1998,3.73540094958159
"333","Chile",1999,3.69531362406224
"334","Chile",2000,3.65522629854287
"335","Chile",2001,3.61513897302352
"336","Chile",2002,3.57505164750415
"337","China",1990,3.95479229735288
"338","China",1991,3.89775385173466
"339","China",1992,3.84071540611647
"340","China",1993,3.78367696049827
"341","China",1994,3.72663851488008
"342","China",1995,3.66960006926189
"343","China",1996,3.61256162364369
"344","China",1997,3.5555231780255
"345","China",1998,3.49848473240731
"346","China",1999,3.4414462867891
"347","China",2000,3.38440784117093
"348","Colombia",1985,5.0610396593861
"349","Colombia",1986,4.89072115482854
"350","Colombia",1987,4.84259045688147
"351","Colombia",1988,4.79445975893439
"352","Colombia",1989,4.74632906098732
"353","Colombia",1990,4.63600166162402
"354","Colombia",1991,4.65006766509319
"355","Colombia",1992,4.60193696714612
"356","Colombia",1993,4.4906056117601
"357","Colombia",1994,4.50567557125198
"358","Colombia",1995,4.43887584675401
"359","Colombia",1996,4.40941417535784
"360","Colombia",1997,4.36128347741078
"361","Colombia",1998,4.31315277946371
"362","Colombia",1999,4.26502208151663
"363","Colombia",2000,4.20315930101199
"364","Colombia",2001,4.1687606856225
"365","Colombia",2002,4.12062998767543
"366","Colombia",2003,4.07249928972836
"367","Colombia",2004,4.02436859178128
"368","Colombia",2005,3.94436028323932
"369","Colombia",2006,3.92810719588715
"370","Colombia",2007,3.87997649794008
"371","Colombia",2008,3.831845799993
"372","Colombia",2009,3.78371510204595
"373","Colombia",2010,3.77115153931451
"374","Colombia",2011,3.6874537061518
"375","Colombia",2012,3.63932300820473
"376","Colombia",2013,3.59119231025767
"377","Colombia",2014,3.54306161231059
"378","Colombia",2015,3.52685205109591
"379","Comoros",1996,6.31138790035587
"380","Comoros",1997,6.25265122591151
"381","Comoros",1998,6.19391455146713
"382","Comoros",1999,6.13517787702277
"383","Comoros",2000,6.07644120257841
"384","Comoros",2001,6.01770452813403
"385","Comoros",2002,5.95896785368967
"386","Comoros",2003,5.90023117924531
"387","Comoros",2004,5.84149450480095
"388","Comoros",2005,5.78275783035657
"389","Comoros",2006,5.72402115591221
"390","Comoros",2007,5.66528448146785
"391","Comoros",2008,5.60654780702347
"392","Comoros",2009,5.54781113257911
"393","Comoros",2010,5.48907445813475
"394","Comoros",2011,5.43033778369038
"395","Comoros",2012,5.37160110924601
"396","Congo, Dem. Rep.",2007,5.44751647876133
"397","Congo, Dem. Rep.",2008,5.42327498313997
"398","Congo, Dem. Rep.",2009,5.39903348751862
"399","Congo, Dem. Rep.",2010,5.37479199189726
"400","Congo, Dem. Rep.",2011,5.35055049627591
"401","Congo, Dem. Rep.",2012,5.32630900065455
"402","Congo, Dem. Rep.",2013,5.3020675050332
"403","Congo, Rep.",2005,5.16731836993542
"404","Congo, Rep.",2006,4.92569555919874
"405","Congo, Rep.",2007,4.76833287362996
"406","Congo, Rep.",2008,4.61097018806117
"407","Congo, Rep.",2009,4.200827126988
"408","Congo, Rep.",2010,4.29624481692355
"409","Congo, Rep.",2011,4.3074023816909
"410","Costa Rica",2000,3.95197934237105
"411","Costa Rica",2001,3.90716136415379
"412","Costa Rica",2002,3.86234338593655
"413","Costa Rica",2003,3.81752540771932
"414","Costa Rica",2004,3.77270742950208
"415","Costa Rica",2005,3.72788945128484
"416","Costa Rica",2006,3.6830714730676
"417","Costa Rica",2007,3.63825349485037
"418","Costa Rica",2008,3.59343551663314
"419","Costa Rica",2009,3.5486175384159
"420","Costa Rica",2010,3.50379956019866
"421","Costa Rica",2011,3.45898158198144
"422","Croatia",2001,2.98558052548537
"423","Croatia",2002,2.96656208945728
"424","Croatia",2003,2.9475436534292
"425","Croatia",2004,2.92852521740112
"426","Croatia",2005,2.90950678137304
"427","Croatia",2006,2.89048834534496
"428","Croatia",2007,2.87146990931688
"429","Croatia",2008,2.8524514732888
"430","Croatia",2009,2.83343303726072
"431","Croatia",2010,2.81441460123264
"432","Croatia",2011,2.79539616520456
"433","Cuba",2002,3.13669985331294
"434","Cyprus",2001,3.00867157576213
"435","Cyprus",2002,2.98310606600339
"436","Cyprus",2003,2.95754055624466
"437","Cyprus",2004,2.93197504648593
"438","Cyprus",2005,2.9064095367272
"439","Cyprus",2006,2.88084402696848
"440","Cyprus",2007,2.85527851720974
"441","Cyprus",2008,2.82971300745101
"442","Cyprus",2009,2.80414749769228
"443","Cyprus",2010,2.77858198793355
"444","Cyprus",2011,2.75301647817482
"445","Czech Republic",2001,2.50581398610927
"446","Czech Republic",2002,2.49203960721262
"447","Czech Republic",2003,2.47826522831598
"448","Czech Republic",2004,2.46449084941935
"449","Czech Republic",2005,2.45071647052271
"450","Czech Republic",2006,2.43694209162607
"451","Czech Republic",2007,2.42316771272943
"452","Czech Republic",2008,2.4093933338328
"453","Czech Republic",2009,2.39561895493616
"454","Czech Republic",2010,2.38184457603952
