"","Country","Year","traffic_mortality"
"473","Finland",2008,6.11799999999994
"474","Finland",2009,5.85400000000004
"475","Finland",2010,5.2
"476","Finland",2011,5.32600000000002
"477","Finland",2012,5.06200000000001
"478","Finland",2013,4.798
"479","Finland",2014,4.53399999999999
"480","Finland",2015,4.4
"481","France",2000,12.9
"482","France",2001,11.604
"483","France",2002,11.0880000000002
"484","France",2003,10.5720000000001
"485","France",2004,10.056
"486","France",2005,8.7
"487","France",2006,9.02400000000011
"488","France",2007,8.50800000000004
"489","France",2008,7.99200000000019
"490","France",2009,7.47600000000011
"491","France",2010,6.3
"492","France",2011,6.44400000000019
"493","France",2012,5.92800000000011
"494","France",2013,5.41200000000003
"495","France",2014,4.89600000000019
"496","France",2015,5.1
"497","Georgia",2000,10.8
"498","Georgia",2001,12.03
"499","Georgia",2002,12.16
"500","Georgia",2003,12.29
"501","Georgia",2004,12.42
"502","Georgia",2005,12.5
"503","Georgia",2006,12.68
"504","Georgia",2007,12.81
"505","Georgia",2008,12.94
"506","Georgia",2009,13.07
"507","Georgia",2010,16.6
"508","Georgia",2011,13.33
"509","Georgia",2012,13.46
"510","Georgia",2013,13.59
"511","Georgia",2014,13.72
"512","Georgia",2015,11.6
"513","Germany",2000,9.4
"514","Germany",2001,8.53800000000001
"515","Germany",2002,8.18600000000004
"516","Germany",2003,7.83400000000006
"517","Germany",2004,7.48200000000008
"518","Germany",2005,6.7
"519","Germany",2006,6.77800000000002
"520","Germany",2007,6.42600000000004
"521","Germany",2008,6.07400000000007
"522","Germany",2009,5.72199999999998
"523","Germany",2010,4.7
"524","Germany",2011,5.01800000000003
"525","Germany",2012,4.66600000000005
"526","Germany",2013,4.31400000000008
"527","Germany",2014,3.96199999999999
"528","Germany",2015,4.2
"529","Greece",2000,20
"530","Greece",2001,19.586
"531","Greece",2002,18.7919999999999
"532","Greece",2003,17.998
"533","Greece",2004,17.204
"534","Greece",2005,16.8
"535","Greece",2006,15.616
"536","Greece",2007,14.8220000000001
"537","Greece",2008,14.028
"538","Greece",2009,13.2339999999999
"539","Greece",2010,12.8
"540","Greece",2011,11.646
"541","Greece",2012,10.8520000000001
"542","Greece",2013,10.058
"543","Greece",2014,9.26400000000012
"544","Greece",2015,8.1
"545","Grenada",2000,4.9
"546","Grenada",2001,7.40600000000001
"547","Grenada",2002,7.38200000000001
"548","Grenada",2003,7.358
"549","Grenada",2004,7.334
"550","Grenada",2005,11.9
"551","Grenada",2006,7.286
"552","Grenada",2007,7.262
"553","Grenada",2008,7.23800000000001
"554","Grenada",2009,7.21400000000001
"555","Grenada",2010,5.6
"556","Grenada",2011,7.166
"557","Grenada",2012,7.142
"558","Grenada",2013,7.118
"559","Grenada",2014,7.094
"560","Grenada",2015,6.6
"561","Guatemala",2000,7.8
"562","Guatemala",2001,5.68599999999992
"563","Guatemala",2002,6.5920000000001
"564","Guatemala",2003,7.49800000000005
"565","Guatemala",2004,8.404
"566","Guatemala",2005,4.8
"567","Guatemala",2006,10.2160000000001
"568","Guatemala",2007,11.1220000000001
"569","Guatemala",2008,12.028
"570","Guatemala",2009,12.934
"571","Guatemala",2010,13.8
"572","Guatemala",2011,14.7460000000001
"573","Guatemala",2012,15.652
"574","Guatemala",2013,16.558
"575","Guatemala",2014,17.4639999999999
"576","Guatemala",2015,19.9
"577","Guyana",2000,26.2
"578","Guyana",2001,27.1800000000003
"579","Guyana",2002,26.3100000000002
"580","Guyana",2003,25.4400000000003
"581","Guyana",2004,24.5700000000002
"582","Guyana",2005,27.7
"583","Guyana",2006,22.8300000000002
"584","Guyana",2007,21.9600000000003
"585","Guyana",2008,21.0900000000001
"586","Guyana",2009,20.2200000000003
"587","Guyana",2010,16.9
"588","Guyana",2011,18.4800000000002
"589","Guyana",2012,17.6100000000001
"590","Guyana",2013,16.7400000000002
"591","Guyana",2014,15.8700000000001
"592","Guyana",2015,15.3
"593","Hungary",2000,12.6
"594","Hungary",2001,13.73
"595","Hungary",2002,13.3099999999999
"596","Hungary",2003,12.89
"597","Hungary",2004,12.47
"598","Hungary",2005,14.8
"599","Hungary",2006,11.63
"600","Hungary",2007,11.21
"601","Hungary",2008,10.79
"602","Hungary",2009,10.37
"603","Hungary",2010,9.1
"604","Hungary",2011,9.52999999999997
"605","Hungary",2012,9.11000000000001
